,date,event_name,digital_button,photoresistor,temperature,humidity
85,November 18 2019 at 10:27PM,esp8266_readings,1,1024,17.10,52.00
86,November 18 2019 at 10:28PM,esp8266_readings,1,1024,17.10,53.00
87,November 18 2019 at 10:29PM,esp8266_readings,1,484,17.10,53.00
88,November 18 2019 at 10:30PM,esp8266_readings,1,453,17.10,54.00
89,November 18 2019 at 10:31PM,esp8266_readings,1,448,17.10,53.00
90,November 18 2019 at 10:32PM,esp8266_readings,1,441,17.10,53.00
91,November 18 2019 at 10:33PM,esp8266_readings,1,441,17.00,52.00
92,November 18 2019 at 10:34PM,esp8266_readings,1,442,17.00,53.00
93,November 18 2019 at 10:35PM,esp8266_readings,1,445,17.00,53.00
94,November 18 2019 at 10:36PM,esp8266_readings,1,442,17.00,53.00
95,November 18 2019 at 10:37PM,esp8266_readings,1,446,17.00,54.00
96,November 18 2019 at 10:38PM,esp8266_readings,1,447,17.10,53.00
97,November 18 2019 at 10:39PM,esp8266_readings,1,445,17.00,52.00
98,November 18 2019 at 10:40PM,esp8266_readings,1,448,17.00,53.00
99,November 18 2019 at 10:41PM,esp8266_readings,1,446,17.00,54.00
100,November 18 2019 at 10:42PM,esp8266_readings,1,447,17.00,53.00
101,November 18 2019 at 10:43PM,esp8266_readings,1,447,17.00,53.00
102,November 18 2019 at 10:44PM,esp8266_readings,1,446,16.90,53.00
103,November 18 2019 at 10:45PM,esp8266_readings,1,446,16.90,53.00
104,November 18 2019 at 10:46PM,esp8266_readings,1,446,16.90,54.00
105,November 18 2019 at 10:47PM,esp8266_readings,1,448,16.90,54.00
106,November 18 2019 at 10:48PM,esp8266_readings,1,446,16.90,53.00
107,November 18 2019 at 10:49PM,esp8266_readings,1,445,16.90,53.00
108,November 18 2019 at 10:50PM,esp8266_readings,1,446,16.90,53.00
109,November 18 2019 at 10:51PM,esp8266_readings,1,446,16.90,53.00
110,November 18 2019 at 10:52PM,esp8266_readings,1,447,16.90,53.00
111,November 18 2019 at 10:53PM,esp8266_readings,1,448,16.90,54.00
112,November 18 2019 at 10:54PM,esp8266_readings,1,446,16.90,53.00
113,November 18 2019 at 10:56PM,esp8266_readings,1,447,16.90,53.00
114,November 18 2019 at 10:57PM,esp8266_readings,1,447,16.90,53.00
115,November 18 2019 at 10:58PM,esp8266_readings,1,447,16.90,53.00
116,November 18 2019 at 10:59PM,esp8266_readings,1,447,16.90,53.00
117,November 18 2019 at 11:00PM,esp8266_readings,1,448,16.90,53.00
118,November 18 2019 at 11:01PM,esp8266_readings,1,447,16.90,54.00
119,November 18 2019 at 11:02PM,esp8266_readings,1,448,16.90,53.00
120,November 18 2019 at 11:03PM,esp8266_readings,1,446,16.90,54.00
121,November 18 2019 at 11:04PM,esp8266_readings,1,447,16.90,56.00
122,November 18 2019 at 11:05PM,esp8266_readings,1,448,17.00,56.00
123,November 18 2019 at 11:06PM,esp8266_readings,1,447,17.10,57.00
124,November 18 2019 at 11:07PM,esp8266_readings,1,448,17.10,59.00
125,November 18 2019 at 11:08PM,esp8266_readings,1,447,17.30,60.00
126,November 18 2019 at 11:09PM,esp8266_readings,1,448,17.30,60.00
127,November 18 2019 at 11:10PM,esp8266_readings,1,447,17.40,61.00
128,November 18 2019 at 11:11PM,esp8266_readings,1,447,17.40,61.00
129,November 18 2019 at 11:12PM,esp8266_readings,1,447,17.50,61.00
130,November 18 2019 at 11:13PM,esp8266_readings,1,448,17.50,60.00
131,November 18 2019 at 11:14PM,esp8266_readings,1,448,17.50,60.00
132,November 18 2019 at 11:15PM,esp8266_readings,1,448,17.50,61.00
133,November 18 2019 at 11:16PM,esp8266_readings,1,449,17.50,61.00
134,November 18 2019 at 11:17PM,esp8266_readings,1,449,17.50,61.00
135,November 18 2019 at 11:18PM,esp8266_readings,1,449,17.60,61.00
136,November 18 2019 at 11:19PM,esp8266_readings,1,450,17.60,61.00
137,November 18 2019 at 11:20PM,esp8266_readings,1,449,17.60,61.00
138,November 18 2019 at 11:21PM,esp8266_readings,1,448,17.60,61.00
139,November 18 2019 at 11:22PM,esp8266_readings,1,449,17.60,60.00
140,November 18 2019 at 11:23PM,esp8266_readings,1,449,17.70,60.00
141,November 18 2019 at 11:24PM,esp8266_readings,1,448,17.70,60.00
142,November 18 2019 at 11:25PM,esp8266_readings,1,449,17.70,60.00
143,November 18 2019 at 11:26PM,esp8266_readings,1,450,17.70,60.00
144,November 18 2019 at 11:27PM,esp8266_readings,1,449,17.70,59.00
145,November 18 2019 at 11:28PM,esp8266_readings,1,450,17.80,59.00
146,November 18 2019 at 11:29PM,esp8266_readings,1,450,17.80,59.00
147,November 18 2019 at 11:30PM,esp8266_readings,1,450,17.80,59.00
148,November 18 2019 at 11:31PM,esp8266_readings,1,449,17.80,58.00
149,November 18 2019 at 11:32PM,esp8266_readings,1,451,17.90,58.00
150,November 18 2019 at 11:33PM,esp8266_readings,1,448,17.90,58.00
151,November 18 2019 at 11:34PM,esp8266_readings,1,450,17.90,58.00
152,November 18 2019 at 11:35PM,esp8266_readings,1,451,17.90,57.00
153,November 18 2019 at 11:36PM,esp8266_readings,1,449,17.90,57.00
154,November 18 2019 at 11:37PM,esp8266_readings,1,450,17.90,57.00
155,November 18 2019 at 11:38PM,esp8266_readings,1,449,17.90,57.00
